Date,Open,High,Low,Close,Adj Close,Volume
2018-11-30,300.750000,303.529999,297.880005,300.429993,298.281128,3666200
2018-12-03,304.940002,305.329987,295.899994,296.790009,294.667175,1764700
2018-12-04,295.720001,295.720001,286.029999,286.730011,284.679138,2208100
2018-12-06,282.899994,286.890015,277.200012,286.350006,284.301849,2793700
2018-12-07,285.399994,290.350006,285.209991,285.399994,283.358643,1407200
2018-12-10,289.929993,298.929993,289.190002,298.399994,296.265656,2417900
2018-12-11,302.679993,303.250000,290.329987,292.149994,290.060364,1764500
2018-12-12,295.989990,296.799988,292.010010,292.500000,290.407867,1121500
2018-12-13,293.269989,295.269989,291.000000,292.230011,290.139801,1125300
2018-12-14,290.000000,291.239990,286.619995,287.700012,285.642212,1881600
2018-12-17,286.200012,286.790009,277.839996,279.230011,277.232788,1649100
2018-12-18,281.549988,283.839996,278.049988,279.470001,277.471069,1707900
2018-12-19,279.750000,283.809998,271.519989,273.959991,272.000458,1716900
2018-12-20,271.989990,273.820007,261.410004,265.290009,263.392487,2327700
2018-12-21,260.779999,262.640015,255.300003,256.549988,254.714981,3738600
2018-12-24,253.029999,254.630005,245.009995,245.220001,243.466034,1515400
2018-12-26,246.309998,251.889999,241.179993,251.619995,249.820251,1797600
2018-12-27,249.250000,259.790009,248.199997,259.790009,257.931824,2201400
2018-12-28,263.010010,264.829987,260.140015,261.260010,259.391327,1983800
2018-12-31,262.149994,265.109985,259.850006,261.839996,259.967163,1184900
2019-01-02,258.359985,265.299988,256.790009,264.730011,262.836487,1064700
2019-01-03,262.320007,264.000000,257.380005,258.079987,256.234039,1165600
2019-01-04,261.920013,265.489990,260.339996,265.040009,263.144287,1443800
2019-01-07,266.000000,270.000000,263.859985,268.079987,266.162506,1465200
2019-01-08,271.130005,271.750000,267.809998,269.869995,267.939728,1791400
2019-01-09,270.130005,272.220001,269.130005,270.540009,268.604950,1235900
2019-01-10,269.619995,277.679993,269.500000,277.500000,275.515137,1842500
2019-01-11,275.790009,277.760010,272.429993,277.730011,275.743500,1157800
2019-01-14,276.670013,279.519989,274.429993,277.510010,275.525085,1388600
2019-01-15,278.230011,278.329987,273.510010,276.000000,274.025879,1193500
2019-01-16,275.399994,275.690002,270.630005,272.390015,270.441711,1324900
2019-01-17,271.170013,279.989990,270.839996,278.799988,276.805847,1242000
2019-01-18,281.179993,285.369995,279.720001,282.869995,280.846741,2073500
2019-01-22,281.390015,284.619995,278.000000,279.589996,277.590210,1885100
2019-01-23,282.109985,285.730011,280.500000,283.510010,281.482178,1631000
2019-01-24,284.589996,288.239990,282.589996,285.250000,283.209717,1017500
2019-01-25,288.170013,289.299988,286.130005,287.040009,284.986908,1050400
2019-01-28,285.000000,288.410004,282.890015,287.869995,285.810974,1166400
2019-01-29,281.109985,292.859985,281.000000,292.049988,289.961060,2037300
2019-01-30,293.950012,293.989990,286.769989,291.670013,289.583801,1781800
2019-01-31,290.170013,292.829987,287.790009,289.690002,287.617950,1311100
2019-02-01,290.850006,292.579987,289.200012,290.579987,288.501587,1358900
2019-02-04,290.899994,299.059998,290.109985,298.769989,296.632996,1328900
2019-02-05,300.000000,302.980011,297.230011,299.459991,297.318054,1454800
2019-02-06,299.989990,302.679993,299.010010,299.829987,297.685425,1114300
2019-02-07,298.790009,300.359985,296.140015,300.130005,297.983276,1150100
2019-02-08,299.220001,301.630005,297.000000,301.500000,299.343475,1021600
2019-02-11,301.779999,302.750000,298.799988,300.040009,297.893951,1077900
2019-02-12,301.470001,304.320007,300.859985,304.109985,301.934814,840600
2019-02-13,305.000000,305.950012,303.679993,304.420013,302.242615,958500
2019-02-14,303.359985,304.000000,300.910004,301.000000,298.847076,888200
2019-02-15,304.010010,307.329987,304.010010,307.230011,305.032501,847700
2019-02-19,305.970001,306.589996,303.760010,305.179993,302.997162,929500
2019-02-20,305.000000,307.200012,304.290009,307.200012,305.002716,870600
2019-02-21,307.059998,307.170013,303.279999,304.510010,302.331970,1045000
2019-02-22,305.910004,307.359985,303.899994,307.130005,304.933228,581800
2019-02-25,308.890015,309.399994,305.549988,305.970001,303.781525,1088000
2019-02-26,305.600006,308.079987,305.010010,305.880005,303.692169,871600
2019-02-27,305.019989,307.940002,304.109985,307.579987,305.379974,1121300
2019-02-28,307.440002,311.750000,306.119995,309.410004,309.410004,1839100
2019-03-01,311.559998,311.559998,306.440002,309.470001,309.470001,1424900
2019-03-04,311.779999,311.779999,303.480011,304.690002,304.690002,1070900
2019-03-05,306.010010,307.220001,304.220001,305.760010,305.760010,907600
2019-03-06,306.480011,308.350006,303.320007,303.320007,303.320007,879200
2019-03-07,302.899994,303.200012,297.420013,303.010010,303.010010,1255500
2019-03-08,300.570007,301.690002,298.769989,300.950012,300.950012,1054100
2019-03-11,299.619995,304.579987,298.630005,304.399994,304.399994,1294400
2019-03-12,304.600006,305.309998,300.790009,301.920013,301.920013,1248800
2019-03-13,303.059998,304.559998,301.119995,303.450012,303.450012,1133400
2019-03-14,303.420013,304.459991,298.320007,298.510010,298.510010,1178400
2019-03-15,298.859985,299.230011,293.769989,296.149994,296.149994,4516500
2019-03-18,295.869995,298.359985,293.269989,297.640015,297.640015,1793600
2019-03-19,299.480011,302.140015,295.440002,296.600006,296.600006,1504000
2019-03-20,296.910004,298.709991,295.059998,295.980011,295.980011,1321800
2019-03-21,295.369995,300.070007,295.000000,299.010010,299.010010,1145700
2019-03-22,297.649994,298.399994,293.880005,294.010010,294.010010,942800
2019-03-25,294.410004,295.820007,292.529999,294.119995,294.119995,779700
2019-03-26,296.089996,297.600006,292.690002,294.920013,294.920013,882300
2019-03-27,295.619995,297.890015,292.850006,293.950012,293.950012,834200
